vector_idx,numista_idx
0,58845
1,85330
2,296683
3,70214
4,15366
5,28040
6,41561
7,301231
8,45073
9,121502
10,65381
11,133789
12,38056
13,63297
14,264515
15,165921
16,357049
17,158546
18,336613
19,145799
20,367836
21,51405
22,125293
23,78293
24,324575
25,384449
26,38875
27,14828
28,314305
29,122726
30,362583
31,154644
32,250658
33,187401
34,358751
35,314709
36,121782
37,11623
38,87677
39,168974
40,47181
41,27935
42,170700
43,51308
44,384738
45,109213
46,187818
47,35736
48,198798
49,41843
50,50005
51,82928
52,348065
53,101587
54,275549
55,21653
56,374735
57,131523
58,180949
59,283966
60,95498
61,56363
62,35869
63,94086
64,33502
65,1729
66,32828
67,365987
68,69100
69,86020
70,32025
71,21459
72,187868
73,86582
74,231088
75,113694
76,63621
77,19372
78,186591
79,209605
80,298853
81,258991
82,103615
83,16285
84,177799
85,105145
86,11297
87,226996
88,359099
89,155015
90,351142
91,90780
92,27607
93,199401
94,103343
95,82823
96,29705
97,56092
98,156985
99,317917
100,12495
101,153584
102,376320
103,9605
104,225578
105,96435
106,353997
107,282656
108,140692
109,353683
110,281428
111,215375
112,284561
113,64455
114,346758
115,58642
116,134229
117,89451
118,323309
119,195164
120,27612
121,368451
122,88117
123,294563
124,338997
125,55622
126,138491
127,198553
128,6398
129,74212
130,36506
131,165965
132,136755
133,312465
134,316754
135,313756
136,14612
137,44417
138,105199
139,145994
140,357570
141,114792
142,126786
143,141496
144,147768
145,124143
146,18809
147,164779
148,353880
149,421
150,281430
151,314488
152,94479
153,93013
154,189182
155,335096
156,83395
157,2085
158,14681
159,338585
160,14458
161,190058
162,212267
163,77778
164,266120
165,382688
166,167732
167,55214
168,45445
169,39894
170,303788
171,266680
172,162965
173,120166
174,313521
175,130350
176,350233
177,124104
178,314138
179,399
180,154629
181,75848
182,258064
183,135049
184,324503
185,69258
186,170408
187,154070
188,19499
189,16739
190,135389
191,71832
192,313936
193,98360
194,199731
195,323307
196,3031
197,347134
198,27678
199,266333
200,164665
201,356536
202,69793
203,230024
204,35056
205,128145
206,309416
207,65468
208,31123
209,64490
210,113251
211,244630
212,74922
213,8948
214,281387
215,110443
216,30103
217,315221
218,53327
219,15063
220,23688
221,315317
222,259595
223,91594
224,47892
225,136043
226,90792
227,319866
228,163197
229,48756
230,338361
231,333954
232,57230
233,257574
234,18525
235,328916
236,240509
237,283995
238,215791
239,38872
240,21244
241,87609
242,349438
243,69715
244,278756
245,114813
246,316258
247,246006
248,80395
249,287550
250,225890
251,85144
252,970
253,366862
254,101756
255,344811
256,334166
257,11321
258,11396
259,27928
260,87039
